鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段１２３巷３４弄１７號十樓,21.42,都市：其他:第三種商業區。,,,1100423,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910510,184.57999999999998,4,2,2,有,有,33000000,178784,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLRKOHGGFCA38DA,99.87,0.71,10.68,有,
中山區,房地(土地+建物),林森北路１１９巷２９號四樓之１,11.72,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種住宅區)。,,,1100514,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,0881125,46.31,1,1,1,有,無,7900000,170590,,0.0,0,陽台外推；其他增建；未登記建物；,RPPOMLSKOHGGFCA77DA,27.86,0.0,2.42,有,011
信義區,房地(土地+建物),福德街１１３號,17.69,都市：其他:捷運開發區。,,,1100416,土地2建物1車位0,一層，平台，騎樓,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630917,84.19,0,1,1,有,無,27020000,320941,,0.0,0,其他增建；,RPRNMLOLNHGGFDA57DA,63.51,20.68,0.0,無,
南港區,房地(土地+建物),福德街３３９巷５弄２號,28.51,都市：其他:第三種住宅區。,,,1100320,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660131,66.8,3,2,1,有,無,15500000,232036,,0.0,0,其他增建；,RPPNMLLJOHGGFDA96DA,54.6,12.2,0.0,無,
信義區,房地(土地+建物),吳興街３２０巷１０之３號二樓之２,8.63,都市：其他:第三種住宅區。,,,1100505,土地2建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801016,41.87,1,1,1,有,無,7200000,171961,,0.0,0,陽台外推；,RPSOMLLJOHGGFDA37DA,28.5,0.0,4.5,有,
信義區,房地(土地+建物)+車位,信義路五段１２７號五樓之１０,14.11,都市：其他:特定業務區(信義計畫特定專用區)。,,,1100428,土地1建物1車位1,五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0951229,118.75,2,2,1,有,有,26850000,288216,坡道平面,32.54,2000000,,RPVNMLSJOHGGFDA28DA,48.12,4.26,4.77,有,012
南港區,房地(土地+建物)+車位,南港路三段１６巷７號四樓之３,25.71,都市：其他:第參種工業區(不得作住宅使用)。,,,1100506,土地3建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),策略性產業〈作資訊服務業，剪接錄音工作室之使用〉,鋼筋混凝土造,0980220,138.63,3,2,2,有,有,20500000,147876,坡道機械,0.0,0,其他增建；,RPPOMLOJOHGGFDA37DA,76.81,3.97,8.09,有,
信義區,房地(土地+建物),松山路６５６巷５號二樓,42.69,都市：其他:道路用地(公共設施用地)。64/4/11,,,1100502,土地3建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,96.25,2,1,1,有,無,8880000,92260,,0.0,0,陽台外推；其他增建；,RPVOMLLKOHGGFDA77DA,51.45,0.0,6.9,無,
信義區,房地(土地+建物)+車位,基隆路一段１６３號三樓,9.28,都市：其他:第三之一種住宅區。,,,1100520,土地9建物1車位1,三層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790626,177.22,4,2,1,有,有,33000000,186209,坡道平面,0.0,0,,RPRNMLQKOHGGFDA77DA,124.91,0.0,23.24,有,013
信義區,房地(土地+建物),吳興街３６８巷１８號二樓,22.6,都市：其他:第三種住宅區。,,,1100515,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0781127,90.22999999999999,2,2,1,有,無,15800000,175108,,0.0,0,鐵鋁窗增建陽台外推；其他增建；,RPVNMLRKOHGGFDA28DA,69.21,0.98,6.86,無,
