鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
新店區,房地(土地+建物)+車位,安光路４９號五樓,30.08,都市：其他:住宅區,,,1100314,土地1建物1車位1,五層,二十三層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1071015,234.85000000000002,4,2,3,有,有,27600000,122516,坡道平面,27.53,2200000,含裝潢費；,RPUNMLOLNHGGFCF28DA,125.13,3.59,12.86,有,
新店區,房地(土地+建物)+車位,安祥路１８２號三樓,205.51,,山坡地保育區,丙種建築用地,1091113,土地10建物1車位1,三層,九層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1061201,246.10000000000002,4,2,2,有,有,14880000,65439,坡道平面,44.69,1700000,預售屋、或土地及建物分次登記案件；,RPUOMLOJOHGGFCF28DA,0.0,0.0,0.0,有,
新店區,房地(土地+建物)+車位,安祥路１５５號三樓,214.5,,山坡地保育區,丙種建築用地,1100319,土地10建物1車位1,三層，四層,四層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1071128,181.47,2,2,2,有,有,12700000,73418,坡道平面,30.28,1600000,預售屋、或土地及建物分次登記案件；,RPXOMLOJOHGGFCF58DA,0.0,0.0,0.0,有,
新店區,房地(土地+建物)+車位,安祥路１５６巷４３號二樓,242.41,,山坡地保育區,丙種建築用地,1100427,土地10建物1車位1,二層,六層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1070605,223.05,4,2,2,有,有,13600000,64370,坡道平面,38.18,1700000,預售屋、或土地及建物分次登記案件；,RPSOMLLKOHGGFCF87DA,0.0,0.0,0.0,有,
新店區,房地(土地+建物),櫻花街１１８號三樓,23.88,都市：其他:商業區,,,1100516,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681002,76.6,3,2,2,有,無,4800000,62663,,0.0,0,,RPOONLNLOHGGFCF87DA,76.6,0.0,0.0,無,
深坑區,房地(土地+建物)+車位,北深路二段２巷１６號十四樓,60.38,,山坡地保育區,丙種建築用地,1100514,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840323,169.15,3,2,2,有,有,12500000,73899,坡道平面,0.0,0,陽台外推；,RPQNMLMKOHGGFCF67DA,105.42,2.66,12.32,有,0440
新店區,土地,福園段232-2地號,1.95,都市：其他:道路用地,,,1100415,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,153075,78500,,0.0,0,,RPPNMLOLOHGGFCF87DA,0.0,0.0,0.0,無,
汐止區,房地(土地+建物)+車位,新臺五路一段９３號十三樓之６,32.45,都市：其他:乙種工業區,,,1100505,土地2建物1車位2,十三層,三十五層,住宅大樓(11層含以上有電梯),廠房,鋼骨構造,1080123,507.34000000000003,0,0,0,無,有,45320000,94935,坡道平面,74.2,4200000,,RPUPMLOKNHGGFDF48DA,264.49,0.0,4.52,有,
汐止區,房地(土地+建物)+車位,新臺五路一段９３號十三樓之７,30.77,都市：其他:乙種工業區,,,1100505,土地2建物1車位2,十三層,三十五層,住宅大樓(11層含以上有電梯),廠房,鋼骨構造,1080123,483.73,0,0,0,無,有,43180000,94938,坡道平面,74.2,4300000,,SPUPMLOKNHGGFDF58DA,249.53,0.0,4.52,有,
汐止區,房地(土地+建物),民權街二段８１巷１２弄８號２樓,40.57,,鄉村區,乙種建築用地,1100428,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701002,101.66,3,2,2,有,無,8350000,82137,,0.0,0,,RPTQMLTKNHGGFDF98DA,89.14,0.0,12.52,無,
汐止區,土地,崇德段660-1地號,65.2,都市：其他:保護區,,,1100518,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6638100,101811,,0.0,0,,RPQRMLTKNHGGFDF78DA,0.0,0.0,0.0,無,0441
