鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
西屯區,房地(土地+建物),寧夏東六街４９號六樓之１,13.85,都市：其他:第二種住宅區,,,1100509,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850201,77.25999999999999,2,2,2,有,有,4300000,55656,,0.0,0,,RPORMLNKNHGGFCB47DA,52.35,6.01,0.0,有,
西屯區,房地(土地+建物)+車位,惠中路一段１６８號十六樓之２,30.95,都市：其他:第六種新市政中心專用區,,,1100504,土地1建物1車位3,十六層,三十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨鋼筋混凝土造,1080515,533.39,4,3,4,有,有,71360000,133786,坡道平面,0.0,0,,RPWNMLLKNHGGFCB67DA,265.58,34.41,0.0,有,0134
西屯區,房地(土地+建物)+車位,市政北七路１７５號十七樓之１,21.03,都市：其他:第六種新市政中心專用區,,,1100425,土地1建物1車位2,十七層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1000110,375.33000000000004,3,2,4,有,有,38280000,101990,坡道平面,33.58,0,,RPSTMLOJNHGGFCB08DA,196.39,44.19,0.0,有,0135
南屯區,房地(土地+建物)+車位,河南路四段６９０巷１５號七樓,16.8,都市：其他:第二種住宅區,,,1100503,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970627,131.91,2,2,1,有,有,12300000,112235,坡道平面,33.01,1200000,陽台外推；其他增建；,RPVPMLNJNHGGFCB87DA,59.56,11.92,0.0,有,
南屯區,房地(土地+建物)+車位,新富一街２２號,138.28,都市：其他:第一之B種住宅區,,,1100408,土地2建物1車位2,全,四層,透天厝,住宅、停車空間、梯間,鋼筋混凝土造,1090116,297.16999999999996,5,3,6,有,無,38600000,129892,一樓平面,0.0,0,其他增建；,RPURMLSJMHGGFCB38DA,279.28,13.18,0.0,有,
西屯區,房地(土地+建物)+車位,福康路１１９巷２３號五樓之３,20.67,都市：其他:第三之一種住宅區,,,1100313,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1051209,122.52000000000001,2,2,1,有,有,10000000,95583,坡道平面,31.5,1300000,,RPUNMLNKLHGGFCB47DA,54.24,7.76,0.0,有,
北屯區,房地(土地+建物)+車位,崇德二路二段１０８號十一樓之３,18.59,都市：其他:第二之一種商業區,,,1100602,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031006,153.62,3,2,1,有,有,11380000,74079,坡道平面,34.64,0,,RPRQMLRKOHGGFBB08DA,70.35,2.77,7.32,有,0136
北屯區,房地(土地+建物)+車位,昌平路二段１２之１５巷２６號３樓,16.7,都市：其他:第二種住宅區,,,1100502,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831210,164.88,3,2,2,有,有,8350000,50643,坡道平面,33.07,0,含土地增值稅或其他稅費；含仲介費；含地政士服務費；,RPXNMLRKOHGGFBB38DA,91.86,0.0,12.84,有,
北屯區,土地,大豐段590-5地號,33.68,,,,1100603,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2445168,72600,,0.0,0,,RPUSMLRKOHGGFBB58DA,0.0,0.0,0.0,無,
北屯區,土地,大豐段590-6地號,11.25,都市：其他:特一種住宅區,,,1100603,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,816750,72600,,0.0,0,,RPVSMLRKOHGGFBB68DA,0.0,0.0,0.0,無,
