鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
桃園區,房地(土地+建物)+車位,慈文路１３４號五樓之１,18.72,都市：其他:住宅區,,,1100517,土地1建物1車位1,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0900509,142.99,3,2,2,有,有,8700000,60848,坡道平面,0.0,0,,RPPPMLSJOHGGFAH28DA,71.41,1.81,9.28,有,0006
桃園區,房地(土地+建物)+車位,永順街９９巷１號,33.13,都市：其他:住宅區,,,1100519,土地1建物1車位2,一層，夾層,十四層,住宅大樓(11層含以上有電梯),店舖，辦公室,鋼筋混凝土造,1030915,267.26,0,0,0,無,有,26350000,98593,坡道平面,67.74,0,,RPTNMLTJOHGGFAH58DA,112.44,0.0,30.43,有,0007
桃園區,房地(土地+建物),大同路１０號三樓,6.55,都市：其他:商業區,,,1100515,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090102,56.65,1,1,1,有,有,6770000,119506,,0.0,0,,RPOQMLKKOHGGFAH57DA,34.29,0.0,3.21,有,
桃園區,房地(土地+建物),大同路１２號三樓,6.72,都市：其他:商業區,,,1100521,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090102,58.129999999999995,1,1,1,有,有,6940000,119388,,0.0,0,,RPPQMLKKOHGGFAH67DA,35.27,0.0,3.21,有,
桃園區,房地(土地+建物)+車位,文中三路６７號十二樓,22.27,都市：其他:住宅區,,,1100424,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090527,169.51,3,2,2,有,有,11650000,76381,坡道平面,41.86,1900000,,RPPNMLLKOHGGFAH47DA,73.77,3.67,8.65,有,
桃園區,房地(土地+建物)+車位,力行路３８５巷２７號十二樓,16.94,都市：其他:住宅區,,,1100603,土地4建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060821,121.72999999999999,2,2,1,有,有,10850000,89132,坡道平面,0.0,0,,RPWOMLLKOHGGFAH28DA,58.9,0.0,7.57,有,0008
桃園區,房地(土地+建物)+車位,天祥五街２１號十九樓之５,9.56,都市：其他:住宅區,,,1100418,土地1建物1車位1,十九層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880111,130.98,3,2,1,有,有,8680000,66270,坡道平面,0.0,0,,RPSPMLLKOHGGFAH97DA,64.27,0.0,12.33,有,0009
桃園區,房地(土地+建物),龍安街５２巷７弄２之３號,15.69,都市：其他:第二種住宅區,,,1100516,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701230,71.45,2,2,1,有,無,2300000,32190,,0.0,0,,RPOSMLTJOHGGFAH58DA,56.43,0.0,15.02,無,
桃園區,房地(土地+建物)+車位,同德三街２７號,37.84,都市：其他:住宅區,,,1100516,土地1建物1車位2,一層，二層,十層,華廈(10層含以下有電梯),店舖、辦公室,鋼筋混凝土造,1020319,267.28,0,0,0,無,有,26000000,97276,坡道平面,0.0,0,,RPPOMLKKOHGGFAH47DA,115.83,0.0,8.94,有,0010
桃園區,房地(土地+建物),同安街４５５巷１弄１２之３號,29.08,都市：其他:住宅區,,,1100530,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700902,105.1,3,2,1,有,無,5950000,56613,,0.0,0,,RPPNMLPKOHGGFAH87DA,91.7,0.0,13.4,無,
