鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
橋頭區,房地(土地+建物)+車位,橋都路９２號二十樓之５,17.29,都市：其他:第六種住宅區,,,1071125,土地1建物1車位1,二十層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100303,153.6,3,2,2,有,有,6800000,43119,坡道平面,27.9,1380000,預售屋、或土地及建物分次登記案件；,RPXPMLMJOHGGFFE68DA,65.27,15.0,0.0,有,
橋頭區,房地(土地+建物)+車位,橋都路９２號十樓之２,13.6,都市：其他:第六種住宅區,,,1070513,土地1建物1車位1,十層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100303,122.03,2,2,1,有,有,5970000,49825,坡道平面,27.9,1280000,預售屋、或土地及建物分次登記案件；,RPPQMLMJOHGGFFE97DA,45.95,14.37,0.0,有,
橋頭區,房地(土地+建物)+車位,橋都路９２號十六樓之３,14.38,都市：其他:第六種住宅區,,,1071227,土地1建物1車位1,十六層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100303,125.75,2,2,1,有,有,6400000,52325,坡道平面,27.9,1280000,預售屋、或土地及建物分次登記案件；,RPQQMLMJOHGGFFE08DA,49.27,13.5,0.0,有,
橋頭區,房地(土地+建物)+車位,橋都路９２號十樓之１,16.82,都市：其他:第六種住宅區,,,1090122,土地1建物1車位1,十層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100303,137.45999999999998,3,2,2,有,有,6500000,48101,坡道平面,27.9,1230000,預售屋、或土地及建物分次登記案件；,RPTQMLMJOHGGFFE38DA,62.35,7.48,0.0,有,
橋頭區,房地(土地+建物)+車位,橋都路９２號五樓之２,12.82,都市：其他:第六種住宅區,,,1061218,土地1建物1車位1,五層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100303,119.28,2,2,1,有,有,5780000,48337,坡道平面,25.15,1230000,預售屋、或土地及建物分次登記案件；,RPUQMLMJOHGGFFE48DA,45.95,14.37,0.0,有,
彌陀區,土地,港口段306地號,202.87,,鄉村區,乙種建築用地,1100416,土地1建物0車位0,,,其他,,,,0.0,3,2,2,有,無,1830000,9021,,0.0,0,,RPVQMLMJOHGGFFE58DA,0.0,0.0,0.0,無,
橋頭區,房地(土地+建物)+車位,橋都路９２號十四樓之１,16.04,都市：其他:第六種住宅區,,,1070622,土地1建物1車位1,十四層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100303,134.70999999999998,3,2,2,有,有,6700000,49471,坡道平面,25.15,1280000,預售屋、或土地及建物分次登記案件；,RPWQMLMJOHGGFFE68DA,62.35,7.48,0.0,有,
橋頭區,房地(土地+建物)+車位,橋都路９２號十一樓之２,13.6,都市：其他:第六種住宅區,,,1090518,土地1建物1車位1,十一層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100303,122.03,2,2,1,有,有,6230000,50993,坡道平面,27.9,1430000,預售屋、或土地及建物分次登記案件；,RPXQMLMJOHGGFFE78DA,45.95,14.37,0.0,有,
橋頭區,房地(土地+建物)+車位,橋都路８６號十六樓之５,16.04,都市：其他:第六種住宅區,,,1070515,土地1建物1車位1,十六層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100303,134.70999999999998,3,2,2,有,有,6550000,48558,坡道平面,25.15,1230000,預售屋、或土地及建物分次登記案件；,RPQRMLMJOHGGFFE18DA,62.35,7.48,0.0,有,
橋頭區,房地(土地+建物)+車位,新南二街１號八樓之１,16.56,都市：其他:第六種住宅區,,,1070328,土地1建物1車位1,八層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100303,145.6,3,2,2,有,有,6820000,46644,坡道平面,27.9,1330000,預售屋、或土地及建物分次登記案件；,RPTPMLNJOHGGFFE38DA,61.53,14.54,0.0,有,
橋頭區,房地(土地+建物)+車位,橋都路８６號十六樓之１,18.02,都市：其他:第六種住宅區,,,1070325,土地1建物1車位1,十六層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100303,149.88,3,2,2,有,有,7350000,50172,坡道平面,27.9,1230000,預售屋、或土地及建物分次登記案件；,RPUPMLNJOHGGFFE48DA,69.39,9.27,0.0,有,
橋頭區,房地(土地+建物)+車位,橋都路８６號二十二樓之１,18.02,都市：其他:第六種住宅區,,,1080118,土地1建物1車位1,二十二層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100303,147.89,3,2,2,有,有,7750000,53088,坡道平面,27.9,1380000,預售屋、或土地及建物分次登記案件；,RPVPMLNJOHGGFFE58DA,69.39,7.28,0.0,有,
橋頭區,房地(土地+建物)+車位,橋都路８６號十七樓之２,21.91,都市：其他:第六種住宅區,,,1060910,土地1建物1車位1,十七層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100303,200.39999999999998,4,2,2,有,有,10070000,50377,坡道平面,27.9,1380000,預售屋、或土地及建物分次登記案件；,RPXPMLNJOHGGFFE78DA,89.58,22.27,0.0,有,
橋頭區,房地(土地+建物)+車位,新南二街１號十三樓之２,16.87,都市：其他:第六種住宅區,,,1070721,土地1建物1車位1,十三層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100303,149.6,3,2,2,有,有,7300000,49466,坡道平面,27.9,1280000,預售屋、或土地及建物分次登記案件；,RPOQMLNJOHGGFFE97DA,63.26,15.54,0.0,有,
橋頭區,房地(土地+建物)+車位,橋都路８６號二十樓之３,20.66,都市：其他:第六種住宅區,,,1090619,土地1建物1車位1,二十層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100303,183.72,3,2,2,有,有,8080000,43640,坡道平面,27.9,1280000,預售屋、或土地及建物分次登記案件；,RPPQMLNJOHGGFFE08DA,82.89,16.51,0.0,有,
梓官區,房地(土地+建物),海景路３１巷１８號,74.91,,一般農業區,甲種建築用地,1100524,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0850618,196.52,3,1,3,有,有,7500000,38164,,0.0,0,,RPVNMLOJOHGGFFE48DA,181.76,14.76,0.0,無,
燕巢區,房地(土地+建物),四林路１２１巷２２號,298.0,,工業區,丁種建築用地,1100331,土地1建物1車位0,全,一層,透天厝,工業用,鋼造,0811102,200.0,0,0,0,無,無,12000000,60000,,0.0,0,其他增建；,RPWNMLOJOHGGFFE58DA,200.0,0.0,0.0,無,0026
